percentile,year,wealth_family
1,1963,-6405.288531866027
1,1983,-7939.449
1,1989,-15150.78
1,1992,-18950.88
1,1995,-19966.56
1,1998,-33773.22
1,2001,-29129.3
1,2004,-32786.54
1,2007,-36199.55
1,2010,-88314.66
1,2013,-81354.16
1,2016,-80620
2,1963,-4430.170897210148
2,1983,-3542.327
2,1989,-8974.787
2,1992,-10984.8
2,1995,-11322.21
2,1998,-20803.95
2,2001,-16041.44
2,2004,-17423.41
2,2007,-21770.68
2,2010,-56902.32
2,2013,-54339.21
2,2016,-50920
3,1963,-3457.994632058438
3,1983,-1931.739
3,1989,-6437.217
3,1992,-5953.593
3,1995,-7360.221
3,1998,-12616.64
3,2001,-9009.76
3,2004,-11064.5
3,2007,-12437.08
3,2010,-37912.78
3,2013,-38614.87
3,2016,-34580
4,1963,-2688.8680556329705
4,1983,-726.817
4,1989,-3526.476
4,1992,-3806.946
4,1995,-4212.552
4,1998,-8439.617
4,2001,-4918.109
4,2004,-6969.365
4,2007,-8221.906
4,2010,-26958.97
4,2013,-25777.62
4,2016,-25749
5,1963,-2079.718989454246
5,1983,-84.5136
5,1989,-1585.981
5,1992,-1895.088
5,1995,-2349.007
5,1998,-4426.373
5,2001,-2100.019
5,2004,-3459.247
5,2007,-5326.869
5,2010,-17022.06
5,2013,-19126.99
5,2016,-17300
6,1963,-1513.6421017550197
6,1983,0
6,1989,-932.9301
6,1992,-838.5343
6,1995,-939.6027
6,1998,-2375.487
6,2001,-677.4255
6,2004,-1487.985
6,2007,-2281.29
6,2010,-11882.28
6,2013,-13465.2
6,2016,-11710
7,1963,-1002.9414727427754
7,1983,0
7,1989,-223.9032
7,1992,-83.85343
7,1995,-15.66004
7,1998,-885.2745
7,2001,0
7,2004,-216.2029
7,2007,-891.6716
7,2010,-7936.261
7,2013,-9331.497
7,2016,-7998
8,1963,-547.6183412807762
8,1983,0
8,1989,0
8,1992,0
8,1995,0
8,1998,0
8,2001,0
8,2004,0
8,2007,0
8,2010,-4973.979
8,2013,-6289.738
8,2016,-5170
9,1963,-295.3446920678081
9,1983,301.8343
9,1989,0
9,1992,0
9,1995,0
9,1998,0
9,2001,0
9,2004,1.271782
9,2007,0
9,2010,-2884.908
9,2013,-3907.887
9,2016,-2818
10,1963,-18.459041963755443
10,1983,724.4023
10,1989,0
10,1992,0
10,1995,93.96027
10,1998,0
10,2001,135.4851
10,2004,254.3564
10,2007,34.74045
10,2010,-1105.329
10,2013,-2113.765
10,2016,-950
11,1963,6.153014676175848
11,1983,1219.411
11,1989,0
11,1992,167.7069
11,1995,501.1214
11,1998,147.5458
11,2001,541.9404
11,2004,1144.604
11,2007,358.9846
11,2010,-66.31973
11,2013,-690.8401
11,2016,0
12,1963,6.153014676175848
12,1983,1661.296
12,1989,93.29301
12,1992,553.4326
12,1995,1174.503
12,1998,472.1464
12,2001,1192.269
12,2004,1907.673
12,2007,1100.114
12,2010,0
12,2013,0
12,2016,60
13,1963,6.153014676175848
13,1983,1992.106
13,1989,373.172
13,1992,1140.407
13,1995,1724.171
13,1998,885.2745
13,2001,2032.276
13,2004,2416.386
13,2007,1852.824
13,2010,0
13,2013,1.031105
13,2016,320
14,1963,6.153014676175848
14,1983,2414.674
14,1989,746.3441
14,1992,1509.362
14,1995,2552.587
14,1998,1608.249
14,2001,2845.187
14,2004,2950.534
14,2007,2570.793
14,2010,132.6395
14,2013,206.2209
14,2016,680
15,1963,159.97843939419099
15,1983,2873.462
15,1989,1119.516
15,1992,2012.482
15,1995,3460.87
15,1998,2286.959
15,2001,3658.098
15,2004,3560.99
15,2007,3474.045
15,2010,773.7302
15,2013,556.7965
15,2016,1100
16,1963,436.86406885052264
16,1983,3460.228
16,1989,1865.86
16,1992,2683.31
16,1995,4353.492
16,1998,3142.725
16,2001,4471.008
16,2004,4196.88
16,2007,4354.136
16,2010,1470.087
16,2013,1237.326
16,2016,1560
17,1963,793.7388663846472
17,1983,4022.847
17,1989,2145.739
17,1992,3253.513
17,1995,5481.016
17,1998,4131.281
17,2001,5419.404
17,2004,5061.692
17,2007,5361.609
17,2010,2210.657
17,2013,2010.654
17,2016,2350
18,1963,1144.46084952549
18,1983,4754.494
18,1989,2798.79
18,1992,3857.258
18,1995,6420.618
18,1998,5237.875
18,2001,6611.673
18,2004,5977.375
18,2007,6369.083
18,2010,3206.559
18,2013,2938.648
18,2016,3230
19,1963,1298.2863712877938
19,1983,5469.237
19,1989,3731.72
19,1992,4746.104
19,1995,7172.3
19,1998,6123.149
19,2001,7859.491
19,2004,6931.212
19,2007,7353.396
19,2010,3868.651
19,2013,3711.977
19,2016,4080
20,1963,1821.2921128935754
20,1983,6292.641
20,1989,4104.892
20,1992,5920.052
20,1995,8143.223
20,1998,7259.251
20,2001,9212.987
20,2004,8228.43
20,2007,8488.25
20,2010,4752.914
20,2013,4433.75
20,2016,4800
21,1963,2313.5337825329484
21,1983,7029.117
21,1989,4776.602
21,1992,6959.834
21,1995,9286.406
21,1998,8262.563
21,2001,11042.04
21,2004,9780.004
21,2007,9495.724
21,2010,5598.49
21,2013,5186.457
21,2016,5620
22,1963,2793.4683780452847
22,1983,7854.936
22,1989,5802.825
22,1992,8220.99
22,1995,10805.43
22,1998,9369.155
22,2001,12193.66
22,2004,11318.86
22,2007,11348.55
22,2010,6355.641
22,2013,6093.829
22,2016,6410
23,1963,3156.4966094043225
23,1983,9175.763
23,1989,7276.854
23,1992,9515.687
23,1995,12214.83
23,1998,11065.93
23,2001,13724.64
23,2004,13035.77
23,2007,13027.67
23,2010,7140.424
23,2013,7094
23,2016,7651
24,1963,3839.4808936429004
24,1983,10479.69
24,1989,8415.029
24,1992,11068.65
24,1995,13483.3
24,1998,12762.71
24,2001,15553.69
24,2004,14879.85
24,2007,14567.83
24,2010,8124.167
24,2013,8259.148
24,2016,8971
25,1963,4436.3239180806395
25,1983,11626.66
25,1989,10542.11
25,1992,12326.45
25,1995,15660.04
25,1998,14636.54
25,2001,17369.19
25,2004,16851.11
25,2007,16385.91
25,2010,9196.335
25,2013,9073.721
25,2016,10275
26,1963,5063.931014484788
26,1983,12988.53
26,1989,12165.41
26,1992,13969.98
26,1995,17226.05
26,1998,16377.58
26,2001,20051.79
26,2004,18440.84
26,2007,18806.16
26,2010,10395.62
26,2013,9898.604
26,2016,11451
27,1963,5913.046862226654
27,1983,14461.48
27,1989,14311.15
27,1992,15430.71
27,1995,18745.07
27,1998,18694.05
27,2001,22490.53
27,2004,20691.89
27,2007,21573.82
27,2010,11583.85
27,2013,10929.71
27,2016,13041
28,1963,6663.715408426698
28,1983,15961
28,1989,15393.35
28,1992,17693.07
28,1995,21250.68
28,1998,21025.27
28,2001,24942.81
28,2004,23273.61
28,2007,23970.91
28,2010,13042.88
28,2013,12373.26
28,2016,14920
29,1963,7882.011476012042
